time,density,gyrate,hbnum,hbond,kinetic_energy,potential,pressure,rmsd,rmsf,sasa,temperature,total_energy
0,1021.0731406666667,1.537685,140.0,140.0,81092.30729133333,-475272.6875,-10.092880333333332,4e-07,0.13046,84.696,299.7192076666667,-394180.3854166667
10,1023.9422854000001,1.547452,136.0,136.0,81065.7156252,-474677.6,120.6260436,4e-07,0.08644444444444445,87.052,299.6209292,-393611.88125
20,1021.5646118000001,1.551289,124.0,124.0,81056.5421874,-474388.29375,-66.7290558,4e-07,0.08636363636363636,85.745,299.5870238,-393331.75
30,1020.5966673999999,1.552704,136.0,136.0,81309.4109376,-474887.8,-67.3266682,4e-07,0.07565555555555555,87.809,300.5216372,-393578.3875
40,1020.8585816000001,1.548137,125.0,125.0,81315.5765626,-475102.33125,-44.231543,4e-07,0.11693636363636363,88.315,300.5444032,-393786.75625
50,1020.102234,1.547521,129.0,129.0,81038.8984376,-474933.6,93.5495142,4e-07,0.12842222222222222,86.88,299.521808,-393894.70625
60,1022.435144,1.561718,127.0,127.0,81784.1812502,-475299.44375,7.271278399999997,4e-07,0.09397272727272728,87.199,302.2763854,-393515.2625
70,1021.8308713999999,1.555404,128.0,128.0,81136.859375,-475480.4875,10.293531799999998,4e-07,0.07706666666666667,87.088,299.8838686,-394343.61875
80,1021.6109253999999,1.552048,124.0,124.0,81166.7609374,-474508.7125,69.96956279999999,4e-07,0.10175454545454544,86.569,299.994409,-393341.95
90,1021.9775756000001,1.554952,124.0,124.0,81090.540625,-474692.95,25.1265378,4e-07,0.1092,87.159,299.7126952,-393602.40625
100,1020.7447998,1.548132,123.0,123.0,81242.8703122,-474566.10625,-17.1224916,4e-07,0.12254545454545455,86.98,300.2756836,-393323.2375
110,1022.5611938,1.547231,135.0,135.0,81121.378125,-475384.2375,18.339334800000007,4e-07,0.07586666666666667,88.026,299.8266482,-394262.85625
120,1018.943457,1.551355,132.0,132.0,81252.3468748,-474954.0125,-88.9120828,4e-07,0.07879090909090909,88.394,300.3107178,-393701.6625
130,1019.2898924000001,1.548959,129.0,129.0,81172.796875,-474761.50625,-113.05916239999999,4e-07,0.07741111111111111,86.084,300.01671139999996,-393588.70625
140,1020.6178712000001,1.549607,123.0,123.0,81326.6296876,-475239.91875,18.7905304,4e-07,0.09082727272727273,87.233,300.5852844,-393913.2875
150,1020.8477538,1.550484,126.0,126.0,81289.8,-474625.8375,84.7524544,4e-07,0.193325,87.658,300.4491518,-393336.0375
160,1020.2168458,1.552057,126.0,126.0,81150.7875,-474749.85,92.6132662,4e-07,0.193325,86.795,299.935376,-393599.06875
170,1022.6525878,1.545724,130.0,130.0,81212.1125,-474524.31875,-27.205408999999996,4e-07,0.193325,86.903,300.1620056,-393312.2
180,1021.939746,1.542393,133.0,133.0,80788.70625,-475354.6875,-108.4148322,4e-07,0.193325,87.21,298.5970886,-394565.98125
190,1023.7460938,1.544364,122.0,122.0,81110.1921876,-475333.11875,139.41128540000003,4e-07,0.193325,86.845,299.785309,-394222.91875
200,1018.3361327999999,1.547378,133.0,133.0,81852.58125,-474815.875,-33.6607772,4e-07,0.193325,85.684,302.529193,-392963.29375
210,1020.8621338,1.543213,130.0,130.0,81020.4874998,-474823.95,-1.4466183999999984,4e-07,0.193325,86.696,299.453778,-393803.4625
220,1020.7090698,1.539929,130.0,130.0,81675.45156280001,-475059.4875,11.459645200000002,4e-07,0.193325,86.245,301.87451780000004,-393384.03125
230,1021.1641477999999,1.53449,132.0,132.0,80955.75625,-475187.5125,88.7375016,4e-07,0.193325,85.376,299.21450799999997,-394231.75
240,1023.0872926,1.538241,132.0,132.0,80945.6718752,-474795.88125,-75.31044779999999,4e-07,0.193325,86.483,299.1772278,-393850.2
250,1020.7162842,1.541475,124.0,124.0,81768.1078124,-474824.525,19.905944799999997,4e-07,0.193325,87.082,302.2169984,-393056.41875
260,1023.9222046000001,1.542351,129.0,129.0,81071.4046876,-475219.80625,-39.7454886,4e-07,0.193325,85.267,299.64195540000003,-394148.40625
270,1020.2246094,1.548691,122.0,122.0,80844.6656252,-474948.4625,-61.06155220000001,4e-07,0.193325,87.212,298.8039368,-394103.79375
280,1022.1132690000001,1.537816,124.0,124.0,80933.75,-475115.05625,108.9578604,4e-07,0.193325,86.792,299.13317859999995,-394181.3
290,1021.1749878,1.54728,121.0,121.0,81001.953125,-474636.5875,9.737392000000002,4e-07,0.193325,87.468,299.38527220000003,-393634.6375
300,1021.7727902,1.540506,120.0,120.0,81059.9359376,-475009.525,-9.683973799999999,4e-07,0.193325,86.912,299.5995728,-393949.59375
310,1024.1098022,1.540549,128.0,128.0,80937.1968752,-475774.4125,105.9770518,4e-07,0.193325,86.12,299.1459168,-394837.2125
320,1021.7764891999999,1.536239,128.0,128.0,81144.5375,-474758.14375,25.7064002,4e-07,0.193325,86.38,299.91225599999996,-393613.60625
